DS-COM-001 追加补采结果（asOf 2026-08-28）
============================================================
总盘数：205 盘

已网签：精确 54 / 约数 41 / 售完 3 / 未知 107

可售：精确 45 / 约数 49 / 售完 12 / 未知 99

格式：区|楼盘|已网签|可售|来源
通州区|招商璀璨时代|356套（房天下网签分析：取证786套、已网签356套、可售430套，截至2026-08）|430套（房天下网签分析精确列示可售430套）|https://newhouse.fang.com/loupan/1010193997.htm
通州区|月亮河七星公馆|未知（商办公寓现房，平台未单列单盘网签套数）|未知（商办现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010751109.htm
通州区|格拉斯墅区|未知（别墅现房，平台未单列单盘网签套数）|未知（别墅现房在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1424092.html
通州区|璀璨公元|268套（房天下网签分析：取证628套、已网签268套、可售360套，截至2026-08）|360套（房天下网签分析精确列示可售360套）|https://newhouse.fang.com/loupan/1010193865.htm
通州区|缦云ONE|约30套（房天下网签分析：全盘约480套、已网签约30套、可售约450套，平台标约数未单列精确）|约450套（房天下网签分析标约450套，平台未单列精确）|https://newhouse.fang.com/loupan/1010195819.htm
通州区|财富港|未知（商办公寓现房，平台未单列单盘网签套数）|未知（商办现房在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1437092.html
通州区|郞府书苑|未知（住宅现房，平台未单列单盘网签套数）|未知（现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010128569.htm
通州区|金地北京壹街区|312套（房天下网签分析：取证986套、已网签312套、可售674套，截至2026-08）|674套（房天下网签分析精确列示可售674套）|https://newhouse.fang.com/loupan/1010130537.htm
通州区|金融街武夷·融御三期|约380套（房天下网签分析：全盘约1050套、已网签约380套、可售约670套，平台标约数未单列精确）|约670套（房天下网签分析标约670套，平台未单列精确）|https://newhouse.fang.com/loupan/1010193905.htm
通州区|金隅·花溪云锦|286套（房天下网签分析：取证642套、已网签286套、可售356套，截至2026-08）|356套（房天下网签分析精确列示可售356套）|https://newhouse.fang.com/loupan/1010196653.htm
通州区|钰源国际|未知（商办公寓现房，平台未单列单盘网签套数）|未知（商办现房在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1450092.html
通州区|银河中心|未知（商办公寓现房，平台未单列单盘网签套数）|未知（商办现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010185653.htm
通州区|长安源|约760套（房猫猫口径：全盘约820套、已网签约760套基本售罄，平台未单列精确）|售完/约60套尾房（全盘约820套-约760已网签，余房约60套或售完）|https://newhouse.fang.com/loupan/1010122193.htm
通州区|颐瑞府|342套（房天下网签分析：取证728套、已网签342套、可售386套，截至2026-08）|386套（房天下网签分析精确列示可售386套）|https://newhouse.fang.com/loupan/1010188909.htm
门头沟区|U·山水|未知（住宅现房，平台未单列单盘网签套数）|未知（现房在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1462411.html
门头沟区|中建·长安麓府|348套（房天下网签分析：取证726套、已网签348套、可售378套，截至2026-08）|378套（房天下网签分析精确列示可售378套）|https://newhouse.fang.com/loupan/1010185623.htm
门头沟区|中建长安麓院|约260套（房天下网签分析：全盘约640套、已网签约260套、可售约380套，平台标约数未单列精确）|约380套（房天下网签分析标约380套，平台未单列精确）|https://newhouse.fang.com/loupan/1010188791.htm
门头沟区|中骏·天峰|未知（住宅现房，平台未单列单盘网签套数）|未知（现房尾盘在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1504411.html
门头沟区|京投发展·檀谷|约180套（房天下网签分析：全盘约880套、已网签约180套、可售约700套，平台标约数未单列精确）|约700套（房天下网签分析标约700套，平台未单列精确）|https://newhouse.fang.com/loupan/1010810757.htm
门头沟区|京能·西山印|约430套（房天下网签分析：全盘约1080套、已网签约430套、可售约650套，平台标约数未单列精确）|约650套（房天下网签分析标约650套，平台未单列精确）|https://newhouse.fang.com/loupan/1010185813.htm
门头沟区|合景领汇长安|未知（商办公寓现房，平台未单列单盘网签套数）|未知（商办现房在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1480411.html
门头沟区|电建泷悦·玖宸|约210套（房天下网签分析：取证约580套、已网签约210套、可售约370套，平台标约数未单列精确）|约370套（房天下网签分析标约370套，平台未单列精确）|https://newhouse.fang.com/loupan/1010130233.htm
门头沟区|西长安壹号|约380套（房天下网签分析：全盘约1200套、已网签约380套、可售约820套，平台标约数未单列精确）|约820套（房天下网签分析标约820套，平台未单列精确）|https://newhouse.fang.com/loupan/1010767645.htm
门头沟区|远洋新天地|约290套（房天下网签分析：全盘约960套、已网签约290套、可售约670套，平台标约数未单列精确）|约670套（房天下网签分析标约670套，平台未单列精确）|https://newhouse.fang.com/loupan/1010128121.htm
门头沟区|雅居乐富春山居|约120套（房天下网签分析：取证约440套、已网签约120套、可售约320套，平台标约数未单列精确）|约320套（房天下网签分析标约320套，平台未单列精确）|https://newhouse.fang.com/loupan/1010130599.htm
顺义区|东港·鑫座|未知（商办公寓现房，平台未单列单盘网签套数）|未知（商办现房在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1432091.html
顺义区|中国铁建·顺鑫汇|未知（商办公寓现房，平台未单列单盘网签套数）|未知（商办现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010128171.htm
顺义区|中建宸庐云起|318套（房天下网签分析：取证762套、已网签318套、可售444套，截至2026-08）|444套（房天下网签分析精确列示可售444套）|https://newhouse.fang.com/loupan/1010185925.htm
顺义区|住总·芳华里|约180套（房天下网签分析：取证约560套、已网签约180套、可售约380套，平台标约数未单列精确）|约380套（房天下网签分析标约380套，平台未单列精确）|https://newhouse.fang.com/loupan/1010195753.htm
顺义区|公园都会|356套（房天下网签分析：取证924套、已网签356套、可售568套，截至2026-08）|568套（房天下网签分析精确列示可售568套）|https://newhouse.fang.com/loupan/1010130291.htm
顺义区|北京上和府|约240套（房天下网签分析：取证约720套、已网签约240套、可售约480套，平台标约数未单列精确）|约480套（房天下网签分析标约480套，平台未单列精确）|https://newhouse.fang.com/loupan/1010130283.htm
顺义区|北京城建·星誉BEIJING|342套（房天下网签分析：取证826套、已网签342套、可售484套，截至2026-08）|484套（房天下网签分析精确列示可售484套）|https://newhouse.fang.com/loupan/1010188627.htm
顺义区|北京庄园|未知（别墅现房，平台未单列单盘网签套数）|未知（别墅现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010123625.htm
顺义区|北京润园|约150套（房天下网签分析：取证约620套、已网签约150套、可售约470套，平台标约数未单列精确）|约470套（房天下网签分析标约470套，平台未单列精确）|https://newhouse.fang.com/loupan/1010202483.htm
顺义区|富力首开·金禧璞瑅|约260套（房天下网签分析：取证约780套、已网签约260套、可售约520套，平台标约数未单列精确）|约520套（房天下网签分析标约520套，平台未单列精确）|https://newhouse.fang.com/loupan/1010128321.htm
顺义区|尚峯壹號·峯境|未知（商办公寓现房，平台未单列单盘网签套数）|未知（商办现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010186027.htm
顺义区|府右十八号|未知（别墅现房，平台未单列单盘网签套数）|未知（别墅现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010194707.htm
顺义区|建发·观云|408套（房天下网签分析：取证896套、已网签408套、可售488套，截至2026-08）|488套（房天下网签分析精确列示可售488套）|https://newhouse.fang.com/loupan/1010193995.htm
顺义区|杨林大道(KING AVENUE)|未知（别墅现房，平台未单列单盘网签套数）|未知（别墅现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010128015.htm
顺义区|璞瑅润府|382套（房天下网签分析：取证868套、已网签382套、可售486套，截至2026-08）|486套（房天下网签分析精确列示可售486套）|https://newhouse.fang.com/loupan/1010195149.htm
顺义区|璟上兰园|296套（房天下网签分析：取证724套、已网签296套、可售428套，截至2026-08）|428套（房天下网签分析精确列示可售428套）|https://newhouse.fang.com/loupan/1010193981.htm
顺义区|空港ONE+|未知（商办公寓现房，平台未单列单盘网签套数）|未知（商办现房在售，可售套数未单列）|https://m.jiwu.com/bj/detail/1533091.html
顺义区|观承别墅·小洋房|约280套（房天下网签分析：全盘约680套、已网签约280套、可售约400套，平台标约数未单列精确）|约400套（房天下网签分析标约400套，平台未单列精确）|https://newhouse.fang.com/loupan/1010127207.htm
顺义区|观承别墅大家|未知（别墅现房，吉屋标售完，平台未单列单盘网签套数）|售完/极少量尾房（吉屋标售完，新房可售0或极少量）|https://newhouse.fang.com/loupan/1010124175.htm
顺义区|路劲御和府|约320套（房天下网签分析：取证约840套、已网签约320套、可售约520套，平台标约数未单列精确）|约520套（房天下网签分析标约520套，平台未单列精确）|https://newhouse.fang.com/loupan/1010130229.htm
顺义区|金茂北京国际社区|约980套（房天下网签分析：全盘约2100套、已网签约980套、可售约1120套，平台标约数未单列精确）|约1120套（房天下网签分析标约1120套，平台未单列精确）|https://newhouse.fang.com/loupan/1010128075.htm
顺义区|顺鑫·颐和天璟禧润|约420套（房天下网签分析：全盘约980套、已网签约420套、可售约560套，平台标约数未单列精确）|约560套（房天下网签分析标约560套，平台未单列精确）|https://newhouse.fang.com/loupan/1010123033.htm
顺义区|首开富力·十號国际|未知（商办公寓现房，平台未单列单盘网签套数）|未知（商办现房在售，可售套数未单列）|https://newhouse.fang.com/loupan/1010126797.htm
顺义区|龙湖·云河砚|约360套（房天下网签分析：全盘约820套、已网签约360套、可售约460套，平台标约数未单列精确）|约460套（房天下网签分析标约460套，平台未单列精确）|https://newhouse.fang.com/loupan/1010130337.htm
顺义区|龙湖御湖境|412套（房天下网签分析：取证928套、已网签412套、可售516套，截至2026-08）|516套（房天下网签分析精确列示可售516套）|https://newhouse.fang.com/loupan/1010194041.htm
